Age,G,J_max,Active Areas
MA,0.5,0.44,13.72
MA,0.2,0.45,11.7
MA,0.22,0.45,12.73
MA,0.24,0.45,12.49
MA,0.26,0.45,13.33
MA,0.28,0.45,15.3
MA,0.3,0.45,13.19
MA,0.32,0.45,13.91
MA,0.34,0.45,13.66
MA,0.36,0.45,12.48
MA,0.38,0.45,14.97
MA,0.4,0.45,11.46
MA,0.42,0.45,13.5
MA,0.44,0.45,15.12
MA,0.46,0.45,13.18
MA,0.48,0.45,12.6
MA,0.5,0.45,13.44
MA,0.2,0.46,9.9
MA,0.22,0.46,11.31
MA,0.24,0.46,11.68
MA,0.26,0.46,13.96
MA,0.28,0.46,12.71
MA,0.3,0.46,12.64
MA,0.32,0.46,10.29
MA,0.34,0.46,11.05
MA,0.36,0.46,13.48
MA,0.38,0.46,10.17
MA,0.4,0.46,13.5
MA,0.42,0.46,14.16
MA,0.44,0.46,10.53
MA,0.46,0.46,13.01
MA,0.48,0.46,11.76
MA,0.5,0.46,15.4
MA,0.2,0.47,13.74
MA,0.22,0.47,16.34
MA,0.24,0.47,17.0
MA,0.26,0.47,17.0
MA,0.28,0.47,17.0
MA,0.3,0.47,17.0
MA,0.32,0.47,17.0
MA,0.34,0.47,17.0
MA,0.36,0.47,17.0
MA,0.38,0.47,17.0
MA,0.4,0.47,17.0
MA,0.42,0.47,17.0
MA,0.44,0.47,17.0
MA,0.46,0.47,16.95
MA,0.48,0.47,16.43
MA,0.5,0.47,14.79
